Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-09-23 06:23:45,28.5,41.6,21°,51%
2023-09-23 07:23:45,28.6,41.5,24°,41%
2023-09-23 08:23:45,28.3,36.4,27°,33%
2023-09-23 09:23:44,28.8,36.0,30°,27%
2023-09-23 10:23:44,29.4,34.7,31°,25%
2023-09-23 11:23:44,29.9,34.8,32°,23%
2023-09-23 12:23:44,30.4,35.2,33°,21%
2023-09-23 13:23:43,30.8,35.1,33°,21%
2023-09-23 14:23:43,31.2,33.1,33°,20%
2023-09-23 15:23:43,30.9,34.7,33°,21%
2023-09-23 16:23:43,31.3,36.0,33°,20%
2023-09-23 17:23:43,31.5,34.7,32°,22%
2023-09-23 18:23:42,31.9,36.1,30°,27%
2023-09-23 19:23:42,31.3,36.1,28°,31%
2023-09-23 20:23:42,30.8,35.1,26°,35%
2023-09-23 21:23:42,31.0,34.7,26°,37%
2023-09-23 22:23:41,30.5,35.5,24°,41%
